Name,Type,Description,Link,Functional Category,Status,OS Min Compatible,Measure Type,Toolkit Wrapper,Source Repo
Clone Building From External Model,Ruby measure,"This measures clones the building in from an external model in place of the existing building in a model. In addition to changing the feilds in the building object itself, it will bring in meters, building story objects, shading surface groups, thermal zones, and spaces. This includes their...Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/09711168-01a7-4abc-b710-b49d59d927d8,,,,,,
Merge FloorspaceJs with Model,Ruby measure,This measure will import a FloorspacJS JSON file into an OpenStudio model. This is meant to function in similar way to the merge function in the geometry editor of the OpenStudio Applicaiton.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/16ef6369-6420-4f17-894c-a767895bcaa4,,,,,,
scale_geometry,Ruby measure,"Scales geometry in the model by fixed multiplier in the x, y, z directions.  Does not guarantee that the resulting model will be correct (e.g. not self-intersecting).Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/f9cc2ffc-2838-4a18-8330-97e7cc94cdf8,,,,,,
SetNISTInfiltrationCorrelations,Ruby measure,"This measure incorporates infiltration that varies with weather and HVAC operation, and takes into account building geometry (height, above-ground exterior surface area, and volume). It is based on work published by Ng et al. (2018) Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/b74a4a45-8553-4e94-860f-35b217a04879,,,,,,
CleanupSpaceOrigins,Ruby measure,This measure will move the space origin for all spaces to the origin of bounding box closest to the model origin.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/d81f8791-081d-4346-9f27-1b721d27ea86,,,,,,
InjectOsmGeometryIntoAnExternalIdf,Ruby measure,"The goal here is to let people bring an IDF into OpenStudio to add or alter geometry. Then to inject only the geometry back into a copy of the source IDF file, which has never been brought into OpenStudio.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/633cd1c5-5b55-4b50-ab20-cf2d2f7ddff8,,,,,,
Rotate Building,Ruby measure,Rotate your building relative to its current orientation. This will not rotate site shading objects.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/b2742307-bce7-4747-8f94-977718217305,,,,,,
Set Window to Wall Ratio by Facade,Ruby measure,"This measure will set the window to wall ratio for exterior surfaces with a specified orientation. If one or more windows exist on an affected wall, they will be removed and replaced with a single ribbon window. Doors will not be removed. If the requested ratio can?t be achieved then the wall...Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/c567a0bf-a7d9-4a06-afe9-bf7df79e6bf8,,,,,,
SurfaceMatching,Ruby measure,This will look for surfaces in adjacent spaces with similar geometry and create thermal connections between them.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/e9c69c36-bf33-4ac4-b695-41dee26ee880,,,,,,
Create DOE Prototype Building,Ruby measure,Creates the DOE Reference Building Models as starting points for other analyses.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/be90fd0b-a651-467a-bc8d-29d310b0f937,,,,,,
Create and Assign Thermal Zones for Unassigned Spaces,Ruby measure,"If any spaces are not part of a thermal zone, then this measure will create a new thermal zone and assign it to the space.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/ddaa752e-5d40-49b2-88de-62e71697e614,,,,,,
DEER Space Type and Construction Set Wizard,Ruby measure,"Create DEER space types and or construction sets for the requested building type, climate zone, and target.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/d8effcbd-52b2-4e5c-866c-e85091142aa6,,,,,,
Radiance Daylighting Measure,Ruby measure,This measure uses Radiance instead of EnergyPlus for daylighting calculations with OpenStudio.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/1e3cfef8-b051-4e60-8bb0-ed2d29d4f45f,,,,,,
Replace Geometry By Story,Ruby measure,"Test measure to throw away spaces and thermal zones of a completed model, adding in custom footprint for each story, and assigning proper space types, story, and fan exhaust. HVAC will be downstream.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/03b18912-0ceb-47e9-8f8b-417a3008e189,,,,,,
Bar Aspect Ratio Study,Ruby measure,"This measure will create a building envelope based on a target floor area, aspect ratio, and floor to floor height.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/3dcac94d-8a2e-43b6-8698-a3a4e8f3903f,,,,,,
SetInteriorWallsToSelectedConstruction,Ruby measure,Replace all interior walls with the specified construction.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/e3d59d0d-1ce8-4cb2-ae59-001f0fa2ac46,,,,,,
Create Baseline Building,Ruby measure,"Creates the Performance Rating Method baseline building.  For 90.1, this is the Appendix G aka LEED Baseline.  For India ECBC, this is the Appendix D Baseline.  Note: for 90.1, this model CANNOT be used for code compliance; it is not the same as the Energy Cost Budget baseline.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/4de56e21-b6cd-45d9-8466-862507d228b2,,,,,,
Create DEER Prototype Building ALPHA Version,Ruby measure,"Creates the DEER Prototype Building Models as starting points for other analyses.  This measure is a work-in-progress ALPHA version.  Some of the building types do not simulate correctly, and no attempt has yet been made to ensure that the simulation results match the DOE-2 DEER Prototypes.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/752055bd-10d9-4ede-8a35-18487fedf579,,,,,,
Create Typical Building from Model,Ruby measure,"Takes a model with space and stub space types, and assigns constructions, schedules, internal loads, hvac, and other loads such as exterior lights and service water heating.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/339a2e3a-273c-4494-bb50-bfe586a0647c,,,,,,
Make Shading Surfaces Based on Zone Multipliers,Ruby measure,"Initially this will jsut focus on Z shifting of geometry, but in future could work on x,z or y,z multiplier grids like what is use don the large hotelRepo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/57d7314d-2ff0-4c13-bf07-b63380bfdea6,,,,,,
Radiant Slab with DOAS,Ruby measure,Adds a radiant slab with DOAS ventilation system to the model.Repo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/8091a0c3-7760-4da6-adf4-133d55872816,,,,,,
Create Bar From Building Type Ratios,Ruby measure,"Creates one or more rectangular building elements based on space type ratios of selected mix of building types, along with user arguments that describe the desired geometry characteristics.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/6e3a14f8-c3c7-4e03-bc51-bef8a52e1a05,,,,,,
AssignConstructionSetToBuilding,Ruby measure,"This will assign an existing construction set to the building object. This will impact surfaces that don't have construction sets already assigned at story, space type, space, or surfaces with hard assigned constructions.Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/6e68ddea-2cff-47a3-9daf-f2189e4cf132,,,,,,
AssignSpaceTypeToBuilding,Ruby measure,This will assign a default space type to the building. Optionally you can also remove an exisiting default space typeRepo: NREL/openstudio-model-articulation-gem,https://bcl.nrel.gov/content/05e20922-6fe4-48a4-bddb-411f8167e757,,,,,,
RenameSpaceSurfacesBasedonParentSpaceandOrientation,Ruby measure,"This will rename surfaces so so that they will look like ""Surface MySpace1 wall 230-01"" where ""MySpace1"" is the name of my space ""wall"" is the surface type and 230 is the orientation of the surface and 01 is the first surface of that orientation. SubSurfaces will start with SubSurface instead of...Repo: NREL/openstudio-model-articulation-gem",https://bcl.nrel.gov/content/fee62510-c076-423a-b172-0810ecedba10,,,,,,
Replace Thermostat Schedules,Ruby measure,Replace zone thermostat schedules with other schedules in the same file.  If a zone does not have a thermostat this measure will not add one.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/7e6da001-30f2-419c-bfc0-2f96ba2115cb,,,,,,
Set Run Period Object,Ruby measure,Set Run Period ObjectRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/6da969e0-4256-49bf-9607-26504cc3d321,,,,,,
SwapLightsDefinition,Ruby measure,This measure will swap out one lights definition for another. All objects that had referred to the original definition will now refer to the new one.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/63845525-5b86-448f-9a34-6be8481496ea,,,,,,
XcelEDATariffSelectionandModelSetup,Ruby measure,"Add the selected Xcel utility rate, as well as set the timestep and lifecycle costing parameters as required by the Xcel EDA program.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/c5ab60e9-b8e5-4653-a502-5ed030f1335d,,,,,,
Set Exterior Walls and Floors to Adiabatic,Ruby measure,"Set exterior or ground walls, floors, and roofs to Adiabatic and assign a hard construction. Can specify through bool arguments exterior orientation for walls, as well as floors and roofs.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/63c7f9ba-8c85-4545-bbc0-d25babefb2c3,,,,,,
Simulation Control,Ruby measure,This measures sets the fields of the SimulationControl object.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/f0f3eeb6-f23b-4ba9-b0c0-7e680f6f2552,,,,,,
Tariff Selection-Flat,Ruby measure,"This measure sets flat rates for electricity, gas, water, district heating, and district cooling.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/539c3e8e-6c41-4f50-ac61-6cbbf1ee1b55,,,,,,
Tariff Selection-Generic,Ruby measure,This measure will add pre defined tariffs from IDF files in the resrouce directory for this measure.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/d65ae535-f0ea-4745-9f5b-8d42c7070741,,,,,,
Add Cost per Floor Area to Unused Lights,Ruby measure,This measure is the same as 'Add Cost per Floor Area to Electric Lights' except that it only offers lights definitions that are not used in the model.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/a5f5ddcf-48bb-413a-a712-0ee22f0b40a4,,,,,,
Add Output Variable,Ruby measure,This measure adds an output variable at the requested reporting frequency.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/2a058afb-e349-49ae-a4bf-2c56a42b4352,,,,,,
AddThermalComfortModelTypes,Ruby measure,"Adds to the model (A) any of the available thermal comfort model types, and (B) work efficiency, clothing insulation, and air velocity constant schedules.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/5ae7b6b3-58d0-40b4-9899-a7cf0e0d36d2,,,,,,
MeterFloodPlot,Ruby measure,This measures generates a flood plot of the requested meter.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/62940b95-409c-46a7-9328-d3d162b9ee50,,,,,,
Predicted Mean Vote,Ruby measure,This measure adds the necessary data to people objects to support Predicted Mean Vote output data. It also adds the variable request.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/11cd3144-dac6-4f64-90e4-b8804c6bfc5e,,,,,,
Replace Exterior Window Constructions with a Different Construction from the Model.,Ruby measure,"Replace existing windows with different windows to change thermal or lighting performance.  Window technology has improved drastically over the years, and double or triple-pane high performance windows currently on the market can cut down on envelope loads greatly.  Window frames with thermal...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/95116deb-0716-4cdc-af27-09c463befc7c,,,,,,
Replace OpenStudio Model,Ruby measure,Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/54f03343-5b5c-42f4-818c-5e6de6ded489,,,,,,
Set COP for Single Speed DX Cooling Units,Ruby measure,This measure will find single speed DX cooling units in the model and will alter the Rated COP to a specified value. It can be run on a single or all air loops in the model.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/a4a7297e-8314-4df7-86b5-bec18cdd0a3a,,,,,,
SetLifecycleCostParameters,Ruby measure,"This measure sets the analysis type to ""FEMP"" and has an argument for the length of the study period in years.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/bb5913af-d959-4e2a-81c5-cd0f3d14c99a,,,,,,
XcelEDAReportingandQAQC,Ruby measure,This measure extracts key simulation results and performs basic model QAQC checks necessary for the Xcel EDA Program.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/92bee759-86ae-4617-92e2-f8e5aa9dc684,,,,,,
Get Site from Building Component Library,Ruby measure,"Populate choice list from BCL, then selected site will be brought into model. This will include the weather file, design days, and water main temperatures.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/a6dff045-6f62-4288-a3f0-a5549f4c292a,,,,,,
ChangeBuildingLocation,Ruby measure,Change the building locationRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/d4db4971-f5ba-11e3-a3ac-0800200c9a66,,,,,,
Set Multiple Run Period Object,Ruby measure,Set Multiple Run Period ObjectRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/100a5eba-0442-42cb-bdf1-9cf75e102f71,,,,,,
gem environment report,Ruby measure,For OpenStudio testing and development; this measure reports out information about the gem path and gems that are available and loaded.  Used for debugging different runtime environments.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/3f9f1a2f-0e8a-4c88-b817-10494fc3e73a,,,,,,
Tariff Selection-Block,Ruby measure,"This measure sets block rates for electricity, and flat rates for gas, water, district heating, and district cooling.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/42e9f831-f39a-4709-a79b-41db49c94f8c,,,,,,
Tariff Selection-Time and Date Dependant,Ruby measure,"This measure sets flat rates for gas, water, district heating, and district cooling but has on seasonal and off peak rates for electricity. It exposes inputs for the time of day and day of year where peak rates should be applied.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/a890e296-b357-432f-8d53-6428d9bf3c0a,,,,,,
ViewModel,Ruby measure,Visualize an OpenStudio model in a web based viewerRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/f4669f10-fda5-489d-8e1c-7ca3c2d40378,,Ready,2.0.0,ReportingMeasure,src/openstudio_toolkit/tasks/measures/create_view_model_html.py,NREL/openstudio-common-measures-gem
Add Meter,Ruby measure,This measure adds an meter at the requested reporting frequency.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/ad4015f2-6d1d-4bb2-84b1-db47bc67a5b2,,,,,,
Add Simple PV to Specified Shading Surfaces,Ruby measure,"This measure will add Simple PV objects to site, building or space/zone shading surfaces. This will not create any new geometry, but will just make PV objects out of existing shading geometry. Optionally a cost can be added for the PV.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/27627c16-75d4-4fc3-add9-2d7d538c0130,,,,,,
EnableIdealAirLoadsForAllZones,Ruby measure,This will enable Ideal Air Loads for all thermal zones in the model. This will result in disconnecting any pre-existing HVAC systems from the zones.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/f70d4a3d-8b93-4fef-b679-858fe1e05acc,,,,,,
ExportScheduleCSV,Ruby measure,This script exports a CSV file containing values for each schedule in the model at a specified interval.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/6fc1a46d-4912-47af-8ace-a7c453fbe363,,,,,,
SetEnergyPlusInfiltrationFlowRatePerFloorArea,Ruby measure,Set the flow rate per floor area value for all infiltration objects in the model. Input values are in SI units.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/490a2af3-7b64-4915-bf9e-9a3a7b525a17,,,,,,
SetEnergyPlusLightObjectsLPD,Ruby measure,Set the LPD for all lights objects in the model. Input values are in SI units.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/88e02d9f-611f-45ec-afd7-eb9c0e2f8ccf,,,,,,
Set Gas Burner Efficiency,Ruby measure,This measure will find Coil Heating Gas units in the model and will alter the burner efficiency to a specified value. It can be run on a single or all air loops in the model.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/afabec3d-cd02-4908-a367-84e21657421f,,,,,,
Inject IDF Objects,Ruby measure,This measure allows you to inject IDF objects into an OSM generated IDF prior to passing the IDF off to EnergyPlus.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/f567dfbc-d280-4d68-b061-019ab2630cd0,,,,,,
Output Table Summary Reports,Ruby measure,"This Measure adds one of the predefined summary table outputs from EnergyPlus to the the Model, which can be helpful for requesting monthly or sizing reports.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/9edf689e-b0c4-4a80-9d3f-a5b8e9097275,,,,,,
Remove Orphan Objects and Unused Resources,Ruby measure,This is the start of a measure that will have expanded functionality over time. It will have two distinct functions. One will be to remove orphan objects. This will typically include things that should never have been left alone and often are not visible in the GUI. This would include load...Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/c618f299-a245-49ce-a119-82eb54007ede,,,,,,
Add Cost per Floor Area to Building,Ruby measure,"This measure will create life cycle cost objects associated with a the building. You can set a material and installation cost, demolition cost, and O&M costs. Optionally existing cost objects already associated with building can be deleted. This measure will not affect energy use of the building.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/153992bb-0202-424b-9fbb-57fcf0285e65,,,,,,
Add Cost per Area to Unused Construction,Ruby measure,This measure is the same as 'Add Cost per Area to Construction' except that it only offers constructions that are not used on any surfaces in the baseline construction.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/ad632782-125f-45c8-a9cf-516e184b418a,,,,,,
ModifyEnergyPlusFanVariableVolumeObjects,Ruby measure,Set the Maximum Flow Rate and and Pressure Rise values for all Fan:VariableVolume objects in the model. Input values are in SI units.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/009fe4eb-be72-4803-ac84-471ebe2c4c21,,,,,,
Set Lighting Loads by LPD,Ruby measure,Set the lighting power density (W/ft^2) in the to a specified value for all spaces that have lights. This can be applied to the entire building or a specific space type. Cost can be added per floor areaRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/901c076e-02af-4bf4-a780-57391e7b1e2a,,,,,,
Add EMS to Report Emissions,Ruby measure,"This measure reports emissions based on user-provided future and historical years as well as future, historical hourly, and historical annual subregions.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/e8fe9153-5e70-4769-afa0-6da0045aa529,,,,,,
Add EMS to Control EV Charging,Ruby measure,This measure implements a control system to curtail an electric vehicle (EV) charging load to better align EV charging with expected energy production from a solar PV system.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/df97997f-d02a-4e35-af7a-5aed16cb5772,,,,,,
Add Rooftop PV,Ruby measure,"This measure will create new shading surface geometry above the roof for each thermal zone inyour model where the surface azmith falls within the user specified range. Arguments are exposed for panel efficiency, inverter efficiency, and the fraction of each roof surface that has PV.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/34550614-0c87-44db-9252-0ca0915b1e64,,,,,,
Add Zone Mixing Object,Ruby measure,"This adds a zone mixing object with a few inputs exposed, including source zone. You can add multiple copies of this to the workflow as needed.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/6ed65817-1d97-43da-a4c2-1d738eafcde5,,,,,,
CreateCSVOutput,Ruby measure,Create CSV output for output variables in SQL fileRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/99d3a7e5-4bd5-407f-b5eb-7c59660ca980,,,,,,
Set Electric Equipment loads by EPD,Ruby measure,Set the electric equipment power density (W/ft^2) in the to a specified value for all spaces that have electric equipment. This can be applied to the entire building or a specific space type. Cost can be added per floor areaRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/b1d87b95-a6d1-4999-bd0d-16da879f4340,,,,,,
ViewData,Ruby measure,Visualize energy simulation data plotted on an OpenStudio model in a web based viewerRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/18cf0de7-48b8-48dc-ab68-0dd29f0b8bd0,,,,,,
Add Cost per Area to Construction,Ruby measure,"This measure will create life cycle cost objects associated with the selected construction. You can set a material and installation cost, demolition cost, and O&M costs. Optionally existing cost objects already associated with building can be deleted. This measure will not affect energy use of...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/bf6ac5d5-6348-4012-b7b4-1200a672e377,,,,,,
Add Cost per FloorArea to Lights,Ruby measure,"This measure will create life cycle cost objects associated with lights. You can choose any light definition used in the model that has a watt/area power. You can set a material & installation cost, demolition cost, and O&M costs. Optionally existing cost objects already associated with the...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/eeec5adf-b3a8-498a-b0d1-eabd81ca0620,,,,,,
Add Cost to Supply Side HVAC Component by Air Loop,Ruby measure,This will add cost to HVAC components of a specified type in the selected air loop(s). It can run on all air loops or a single air loop. This measures only adds cost and doesn't alter equipment performanceRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/a667a52f-aa04-4997-9292-c81671d75f84,,,,,,
Adjust Thermostat Setpoints by Degrees,Ruby measure,This measure adjusts heating and cooling setpoints by a user specified number of degrees. This is applied throughout the entire building.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/6e1f34f9-92e1-44ea-9279-de0b9b64f6a1,,,,,,
Set Space Infiltration by Exterior Surface Area,Ruby measure,"Replace all Space Infiltration objects with a new one that has a prescribed flow rate per exterior surface area.  There are many strategies that can be used to reduce infiltration.
Seal Windows ? Seal all windows and doors with weather strip and fill any air gaps with insulation and...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/9d7b0789-3974-4869-a2a8-055391857e3c,,,,,,
Set Thermostat Schedules,Ruby measure,Sets zone thermostat schedules to schedules in the same file. If a zone does not have a thermostat this measure will add oneRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/2978cde0-53d5-4096-bdab-11f9f6e074f1,,,,,,
Unmet Load Hours Troubleshooting,Ruby measure,"Unmet load hours are any hours of operation when conditioned spaces are outside the throttling range for heating or cooling controls. That is, they are the hours in a year that the HVAC system serving a space cannot maintain space setpoint. This measure performs a series of checks against...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/edf8fc3a-5607-4e0f-9dd2-4a1e1545433b,,,,,,
Add_EV_Load,Ruby measure,"This measure adds a load associated with charging of electric vehicles (EVs) to a building in URBANopt. EV load profiles were generated in EVI-Pro for specific building types. This measure allows running of customized load profiles for buildings in the Pena Station Next project, and also for...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/a23e0493-7357-48ca-b089-4d902efd6b50,,,,,,
Air Wall Zone Mixing,Ruby measure,This measure replaces conductive heat transfer with zone mixing wherever air walls are used on matched surfaces or sub-surfaces for walls. A user argument is exposed for a coefficient that represents a target air changes per hour (ACH) for a room where the zone volume/the air wall surface area...Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/fd04f73e-a530-4144-9e1e-c1878b1394bc,,,,,,
Add Cost per Floor Area to Electric Equipment,Ruby measure,"This measure will create life cycle cost objects associated with electric equipment. You can choose any electric equipment definition used in the model that has a watt/area power. You can set a material and installation cost, demolition cost, and O&M costs. Optionally existing cost objects...Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/42cf1acc-c0bc-46cd-af67-8a17cadaab7b,,,,,,
Add Exterior Lights,Ruby measure,Add exterior lighting to the building.  This may be in addition to or in place of existing exterior lighting.  This lighting will run from sunset to sunrise. Optionally you can add costs to the lights.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/34f9050c-5f8f-4d10-8e46-30ca8333114d,,,,,,
AdjustSystemEfficiencies,Ruby measure,Updates heating and cooling efficiencies of all equipment in a model by a multiplier.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/edeaff3d-3ae4-4487-b4a4-5cf08ea14510,,,,,,
ModifyEnergyPlusCoilCoolingDXSingleSpeedObjects,Ruby measure,Set various values for existing CoilCoolingDXSingleSpeed objects. Input values are in SI units.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/b224bd36-213e-4b0e-b3fe-70371e04533d,,,,,,
RemoveInternalLoadsDirectlyAssignedToSpaces,Ruby measure,"This will removed all internal loads assigned directly to spaces. This can be useful if your model started as an IDF, and now you want to assign space types.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/019999e0-3e0c-4a77-abbf-a3352de12384,,,,,,
RemoveUnusedDefaultProfiles,Ruby measure,This measure will remove unused default profiles that existed in some older OpenStudio templates. It will remove some EnergyPlus warnings that had appeared in the past.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/8abcdf38-c391-465a-8fb8-b243aa4f0b06,,,,,,
ReportModelChanges,Ruby measure,"This measure takes the path to an external OSM file.  When it runs, it compares that model to the current model and reports differences between the two.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/6d66b426-908f-4528-9fe5-523b9d2f49c5,,,,,,
Ventilation Report,Ruby measure,This measure asks the user to select a thermal zone (or all zones) and generates a Quality Assurance Report relating to ventilation and infiltration model objects. The QA report consists of two sections: 1) A table listing each space and associated (total of space) ventilation and infiltration...Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/cb13be0e-88f6-494c-b3b1-dc748b42e205,,,,,,
Zone Report,Ruby measure,"This measure provides Thermal Zone level HVAC information.  Output includes thermal zone equipment descriptions and details, zone sizing information for heating and cooling, and a disaggregation of the contributions of envelope and internal gains to the HVAC loads.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/81ac119f-4841-434c-9e11-824310fe1cb7,,,,,,
SetRunPeriod,Ruby measure,Sets the run period and timestep for simulationRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/7a84292a-3975-4ab3-9284-6edabcbe750b,,,,,,
SetSpaceInfiltrationPerExteriorArea,Ruby measure,Set Space Infiltration Design Flow Rate per exterior area for the entire building.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/9d796dd3-c5cf-475a-81aa-607d3ba9d143,,,,,,
Add Output Diagnostics,Ruby measure,Often the eplusout.err file may request output diagnostics. This measure can be used to add this to the IDF file. Re-run your project to see the requested output.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/cb957503-4a01-42c4-a918-a44df4ea759c,,,,,,
Server Directory Cleanup,Ruby measure,Clean up files in the run directoryRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/ec7d04ad-0b7b-495b-825a-e1b6d28d1d3f,,,,,,
Shadow Calculation,Ruby measure,"This measure sets the fields of the ShadowCalculation object, which is used to control some details of EnergyPlus’s solar, shadowing, and daylighting models.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/d0699b19-862f-4b68-9ff0-58483c45e0e8,,,,,,
Set COP for Two Speed DX Cooling Units,Ruby measure,This measure will find two speed DX cooling units in the model and will alter the Rated HighSpeed COP to a specified value. It can be run on a single or all air loops in the model.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/f5a8d60a-e60f-4097-99c3-28bfda3f29a3,,,,,,
Add Zone Ventilation Design Flow Rate Object,Ruby measure,This will allow you to add a ZoneVentilation:DesignFlowRate object into your model in a specified zone. The ventilation type is exposed as an argument but the design flow rate calculation method is set to design flow rate. A number of other object inputs are exposed as argumentsRepo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/c31e2212-720d-413f-bdb9-f38e198dcfa3,,,,,,
ImportEnvelopeAndInternalLoadsFromIdf,Ruby measure,"This will replace the building in your current model with the building objects form the selected IDF file. This will include spaces and thermal zones, and related resources such as constructions, materials, internal loads, and schedules.Repo: NREL/openstudio-common-measures-gem",https://bcl.nrel.gov/content/10a3ffb4-de25-4cb3-87ff-5922219716f9,,,,,,
SetEnergyPlusMinimumOutdoorAirFlowRate,Ruby measure,Set the Minimum Outdoor Air FLow Rate for all Controller:OutdoorAir objects in the model. Input values are in SI units.Repo: NREL/openstudio-common-measures-gem,https://bcl.nrel.gov/content/90e4574a-b4cc-4a00-9b43-1fe9bb7e6e77,,,,,,
AddPCMtoEnv,Ruby measure,This measure can create new material with phase change property from user inputs and edit the idf file to run simulation.Repo: meftaH416/Openstudio_Measures_meftah,https://bcl.nrel.gov/content/93bac9cf-7401-433b-9028-97b478320a30,,,,,,
